# Observed cut height: 0.0036775016
# Observed size of largest cluster at observed cut height: 233
# Expected size of largest cluster at observed cut height: 48.8
# Observed maximum ratio statistic: 4.775
# Expected maximum ratio statistic: 1.890
# p-value: 0.0
# Clusters:
AAAS	ACACA	ACADVL	ACAT1	ACAT2	ACOT7	ACSL3	ACTN1	ADH5	ADIPOR2	ADPGK	AGR2	AGRN	AGTRAP	AK3	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	ALDH3A1	ALDH3B1	AREG	ASPSCR1	ATP6AP1	ATP6AP2	ATP6V1C1	ATP6V1D	ATP6V1E2	ATPAF1	AXL	BDNF	BET1	BLVRA	BLVRB	CACNG6	CACNG8	CCL2	CD24	CD44	CD47	CES1	CHML	CHURC1	COL18A1	CSF1	CTNNA1	CTSA	CTSB	CTSD	CTSL	CXCL1	CXCL2	CXCL3	CXCL5	CXCL8	CYB5B	CYB5R3	CYP1B1	CYP2S1	DAG1	DESI1	DHCR24	DHCR7	DHRS4	DHX33	DNAJC4	ECSIT	ELOVL1	ELOVL5	ENAH	EPAS1	EPHX1	EREG	ESD	ETFB	FADS2	FBXO7	FDFT1	FDPS	FGF2	FGFR1	FNTA	FOXC1	G6PC3	GABPB1	GFRA1	GGCX	GGPS1	GLRX	GPC1	GPX2	GPX8	GRIN2B	GSR	GSTO1	HACD1	HACD2	HACD3	HADHB	HAGH	HMGCS1	HMOX1	HSD17B12	IDI1	IFNGR2	IL13RA1	IL18	INSIG1	IRS2	ITFG2	ITGA3	IVNS1ABP	JAK1	KIF5B	KYNU	LACTB	LAMC2	LBR	LYRM1	MAFK	MCL1	ME1	MET	MGLL	MGST1	MIF	MLPH	MSMO1	MVD	MYO10	NAMPT	NDUFA5	NDUFB5	NFE2L2	NNMT	NPRL3	NQO1	NRG1	NSFL1C	NT5E	NUDT15	NUP62	NUS1	ODC1	OPN3	PALLD	PDLIM7	PITPNC1	PLAU	PLAUR	PMF1	PPFIBP1	PROCR	PRPS1	PRPSAP1	PTDSS1	PTPRF	PXN	PYCARD	RAB1B	RAB22A	RAB27B	RAB31	RABGGTB	RDH10	RPE	RPIA	S100A4	SAR1A	SAR1B	SAT1	SCARB1	SCD	SDC1	SEC13	SEC22C	SEPHS1	SERPINE2	SIRT7	SMOX	SNAP47	SNX12	SNX6	SNX8	SOCS2	SQLE	SSBP1	STAT1	STAT3	STX2	SULT2B1	TACC1	TACC2	TAF1D	TBC1D20	TCOF1	TECR	TFG	TFPI	THBD	TIMMDC1	TIMP1	TJP1	TKT	TMED10	TMEM199	TMEM70	TNNT1	TPD52L1	TPD52L2	TPM1	TPM2	TPR	TRAPPC4	TRAPPC6A	TRIM59	TXNRD1	UBQLN1	UBTF	UBXN2A	UBXN4	USO1	VAMP3	VAMP8	VASP	VEGFB	VGF	VKORC1L1	VPS26A	VPS35	YAF2	YKT6
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	GNPDA1	GNPNAT1	PGM2L1	PYGB	PYGL	UAP1	UGP2
ATN1	ATXN2	ATXN2L	CAPRIN1	FAM98A	FXR1	PABPC4	RTCB	USP10	ZBTB8OS
BROX	CHMP1A	CHMP1B	CHMP2B	CHMP5	HGS	MVB12A	VPS25	VPS28	VPS4A
AP1G1	AP1M2	AP2A2	BIN1	CLINT1	EPN2	FCHO1	ITSN2	NECAP2
ATF7	BATF3	FOSL1	JUNB	JUND	KIAA0930	MAP3K11	NEDD4L	SFN
AGPAT1	AGPAT5	CDS2	GPAT3	GPAT4	LPIN1	MFSD10	PLPP5
ANP32E	IGFBP4	IGFBP6	PAPPA	PHLDA2	SLC22A18AS	STC2
LUC7L	NKTR	PNISR	RBM25	SREK1	SRSF11	SRSF6
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
C11orf74	HIP1	IFT27	IFT43	IFT57	IFT81
COMMD1	COMMD10	COMMD2	COMMD5	COMMD9	PRAME
CSAG1	MAGEF1	NSMCE1	SLF1	SLF2	SMC5
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
IGBP1	MID1	PPP4R2	PPP4R3A	PPP4R3B	TIPRL
ABI2	ACTR3	ARPC1B	NCKAP1	WASF2
ALG5	ALG8	DPM1	DPM3	MPDU1
B4GALNT1	GALNT1	GALNT2	HEXA	ST3GAL5
B9D1	B9D2	TCTN1	TMEM107	TMEM237
COL5A2	COLGALT1	FKBP10	PLOD2	SERPINH1
EHBP1	EHD1	RAB10	RAB11FIP2	RAB14
GPN1	GTF3C2	PIH1D1	POLR3D	POLR3G
LRPPRC	SCO1	SCO2	SURF1	TACO1
MAP3K14	MAP3K8	REL	TNIP1	TNIP2
ADAM10	ADAM17	TSPAN14	TSPAN17
AKAP9	CDK5RAP2	PKN1	PKN2
BASP1	MARCKS	MARCKSL1	PRKCSH
BOLA1	CIAO1	CIAPIN1	NUBP1
CCK	GAL	GIP	NLN
COPS6	COPS7A	COPS8	GPS1
DCDC2	TDP2	TOP1	TOP2B
DDOST	KRTCAP2	RPN2	TUSC3
HES6	MSC	TLE1	TLE4
HOXB13	MEIS2	TEAD1	TEAD4
LMNA	LMNB2	SUN1	SYNE1
LRPAP1	RALA	RALB	RGS14
MRPL10	MRPS18B	MRPS27	MTIF3
PSMB9	PSME1	PSME2	PSMG2
UBN1	WTAP	YTHDC1	YTHDF2
ABCC1	ABCC2	ABCG2
ADM	ECE2	EDN1
AHNAK	AHNAK2	MYOF
ARF4	ARF5	ARFIP2
C11orf1	C9orf116	CFAP20
C19orf12	PANK2	PANK3
C1D	EXOSC3	ZCCHC8
CA12	CA8	CYP24A1
CDIPT	PIGH	PIGP
CHCHD6	MTX1	MTX2
CNP	MPZL1	PMP22
CTDSP1	CTDSPL	MBP
CUX1	ETV4	EWSR1
DDIT3	ERO1A	TRIB3
EFNA1	EFNA5	EPHA2
FST	FSTL3	INHBB
GADD45A	MBD4	TDG
GNG12	PAK4	RHOV
GRAMD1B	NPC2	STARD3NL
HMGA1	HMGA2	LPP
HOXB6	HOXB8	HOXB9
KRT18	KRT19	KRT8
LETM1	MCU	MICU1
LTBP3	LTBP4	TGFB2
NRCAM	NRP2	SEMA3C
PLIN3	RABEPK	RHOBTB3
SDHAF1	SDHAF2	SDHAF3
THAP11	THAP4	THAP7
TRMT10C	TRMT6	TRMT61A
AASDHPPT	HAT1
SMARCB1
SMARCC1
SMARCC2
SMARCD1
SMARCE1
SMC1A
SMC2
SMC4
SMC6
SMG1
SMKR1
SMYD2
SNRNP200
SNRNP27
SNRNP40
SNW1
SNX2
SOCS3
SOCS6
SOD2
SON
SOX2
SOX4
SPC25
SPDL1
SPECC1
SPG7
SPHK1
SPP1
SPRED2
SRC
SREBF1
SRGAP1
SRGN
SRP68
SRP72
SRPK1
SRPK2
SRRT
SRSF3
SRSF4
SRSF8
SSB
SSH2
SSR1
ST6GAL2
STAG2
STAMBP
STAMBPL1
STAU1
STK24
STK25
STRBP
STRN3
STT3B
STX4
STX8
SUGT1
SUPT16H
SUPT5H
SUPT6H
SVBP
SYF2
SYNCRIP
SYNM
SYNPO
SYPL1
SYT1
TACC3
TAF11
TAF12
TAF15
TAF6
TAF7
TALDO1
TANK
TAOK1
TAOK3
TAPBP
TARDBP
TAX1BP1
TBL1X
TBL1XR1
TBPL1
TBX3
TCEA2
TCERG1
TCF25
TCHP
TCTEX1D2
TES
TFAP2A
TFAP2C
TFDP2
TFRC
TGFBI
TGFBR1
TGFBR2
TGOLN2
THAP2
THEM4
THG1L
THOC2
THOC3
THOC6
THRAP3
TIAL1
TIGAR
TIMELESS
TIMM23
TIMM44
TIPIN
TLN1
TMA16
TMED1
TMED4
TMED7
TMEM106B
TMEM189
TMX1
TNFAIP2
TNFRSF10B
TNFRSF12A
TNPO3
TNRC6A
TNRC6B
TNS3
TNS4
TOB1
TOP2A
TOPBP1
TOR1A
TOX4
TP53
TP53I13
TP53I3
TPX2
TRA2A
TRADD
TRAF2
TRAF3IP1
TRAF5
TRAM1
TRAPPC10
TRIM44
TRIM56
TRIP12
TRIP13
TRIP6
TRUB2
TSFM
TSG101
TSNAX
TSPAN15
TSR1
TSR2
TTC1
TTF1
TUBA1A
TUBA1B
TUBA1C
TUBA4A
TUBB
TUBB4B
TUBB6
TUBGCP2
TWF1
TWIST2
TWISTNB
TXN
TXNDC12
TXNDC9
TXNRD2
TYMP
U2AF1L4
U2AF2
UBA1
UBAP2L
UBASH3B
UBB
UBC
UBE2B
UBE2C
UBE2D1
UBE2D4
UBE2E1
UBE2E2
UBE2G1
UBE2G2
UBE2H
UBE2J2
UBE2Q2
UBE2S
UBE2Z
UBE3A
UBE3C
UBL4A
UBL7
UBR4
UCHL3
UCHL5
UCP2
UHRF1
UMPS
UNG
UPF2
UPF3A
UPF3B
UQCRC1
UQCRC2
USP1
USP12
USP14
USP3
USP34
USP39
USP7
USP8
UTP18
VAMP2
VCL
VIM
VPS53
VTA1
WAC
WAPL
WBP11
WBP2
WBP4
WDR1
WDR18
WDR33
WDR4
WDR46
WDR5
WDR61
WDR73
WDR74
WDR76
WDR77
WDR82
WIPF2
WIPI2
WWTR1
XBP1
XIAP
XPC
XPOT
XRCC5
XRCC6
YBEY
YEATS4
YME1L1
YTHDF1
YWHAE
ZBTB38
ZBTB7A
ZC3H13
ZC3H18
ZC3H4
ZC3HAV1
ZDHHC6
ZEB1
ZFAND2B
ZFPM1
ZFR
ZFX
ZMAT5
ZNF326
ZNF622
ZNRD1
ZPR1
ZWILCH
ZWINT
ZYX
