# Observed cut height: 0.006032987
# Observed size of largest cluster at observed cut height: 59
# Expected size of largest cluster at observed cut height: 17.4
# Observed maximum ratio statistic: 3.391
# Expected maximum ratio statistic: 1.682
# p-value: 0.0
# Clusters:
ACACA	ACADVL	ACAT1	ACAT2	ACOT7	AKR1B10	AKR1C1	AKR1C2	AKR1C3	BLVRA	BLVRB	CYB5B	CYP1B1	DHCR24	ECH1	ELOVL5	EPHX1	FADS2	FDFT1	FDPS	FOXC1	GGCX	GLRX	GPX2	GSR	HACD1	HACD2	HACD3	HADHA	HADHB	HCCS	HMGCS1	HMOX1	HOXB8	HOXB9	HSD17B12	INSIG1	LBR	LMNB2	MAFK	MEIS2	MGLL	MGST2	MSMO1	NFE2L1	NUS1	PBX1	POR	PTDSS1	SCD	SCP2	SEPHS1	SQLE	SULT2B1	TECR	THEM4	TXNRD1	TXNRD2	VKORC1L1
GOSR1	LETM1	MCU	MICU1	RAB11B	RAB11FIP2	RAB1B	RAB6A	TBC1D20	TRAPPC10	TRAPPC4	TRAPPC6A	USO1	VAMP3	VAMP8	VPS53
CHMP1A	CHMP1B	CHMP2B	TMEM106B	VPS25	VPS28	VPS4A	VTA1
ADIPOR2	NAMPT	NNMT	SIRT7	TAF1D	TCOF1	UBTF
AGPAT1	GNPAT	GPAT3	GPAT4	LPIN1	MFSD10	PLPP5
AHI1	B9D1	BBIP1	CEP290	PCM1	TMEM107	TMEM237
AHNAK	CAPN1	EHBP1	EHD2	MYOF	RAB10	RAB14
ATN1	ATXN2	FAM98A	FXR1	PABPC4	RTCB	ZBTB8OS
FBXO7	SERPINE2	SNX12	SNX6	SNX8	VPS26A	VPS35
ARHGAP35	ARHGAP5	RHOB	RHPN2	RND3	ROCK2
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
BATF3	FOSL1	FOSL2	JUND	MAP3K11	SFN
ACBD3	DRG1	GOLGA3	TSN	TSNAX
ASPSCR1	LACTB	NSFL1C	UBXN2A	UBXN4
ATP6AP1	ATP6V0D1	ATP6V1C1	ATP6V1D	ATP6V1E2
B4GALNT1	GALNT1	HEXA	HEXB	ST3GAL5
B4GALT1	B4GALT2	B4GALT3	B4GALT4	ST6GAL2
BCS1L	LRPPRC	SCO1	SCO2	SURF1
CSAG1	MAGEF1	NSMCE1	SLF1	SMC5
KCTD1	KCTD15	TFAP2A	TFAP2C	TMEM18
ADAM10	TSPAN14	TSPAN15	TSPAN17
AGR2	DAG1	ITGA3	LAMA5
APOO	IMMT	MPV17	MTX2
ARCN1	COPZ2	TMED10	TMED4
C11orf1	C9orf116	CFAP20	TUBB4B
C19orf12	PANK2	PANK3	PPCS
CES1	CES2	ESD	HAGH
DPYSL2	MSI2	NUMBL	ZC3H14
ETFB	FDXR	L3HYPDH	TMEM109
GAL	GIP	NLN	NTS
GNG12	PAK2	PAK4	RHOV
NRCAM	NRP1	NRP2	SEMA3C
RPE	RPIA	TALDO1	TKT
ABCC1	ABCC2	ABCG2
ACTR3	ARPC1B	WDR1
ADM	ECE2	EDN1
AFG3L2	LONP1	SPG7
AP1M2	AP1S2	CLINT1
APTX	COQ5	COQ9
ASAH1	CERS2	PSAP
ATIC	CANT1	IMPDH2
BDP1	GTF3C2	POLR3GL
BOLA1	CIAO1	NUBP1
CA12	CA8	CYP24A1
CDC42EP1	CDC42EP3	RHOQ
COLGALT1	FKBP10	PLOD2
COMMD2	COMMD3	COMMD5
CTSA	CTSD	CTSL
DDX39A	THOC2	THOC6
DHX33	IL18	PYCARD
ESRRA	NRIP1	SLC7A1
GNPDA1	GNPNAT1	UAP1
HEXIM1	LARP7	MEPCE
HMGA1	HMGA2	LPP
ICMT	KRAS	RPS6KA3
IFT27	IFT81	TRAF3IP1
IGFBP4	PAPPA	STC2
METTL16	YTHDC1	ZC3H13
MLX	MLXIP	MXD4
MPZL1	PMP22	RNMT
MTHFD1	MTHFD2	MTHFD2L
NDUFA10	NDUFA5	NDUFA9
NGRN	RPUSD3	TRUB2
ODC1	SAT1	SMOX
PGM2L1	PYGB	UGP2
PREB	SAR1A	SAR1B
RPN2	TRAM1	TUSC3
THAP11	THAP4	THAP7
AGTRAP	CAMLG
UBE3C
UBL4A
UBL7
UBN1
UBQLN1
UBR4
UCHL3
UCHL5
UCP2
UHRF1
UMPS
UNC119
UNG
UPF2
UPF3A
UPF3B
UQCRC1
UQCRC2
USP1
USP12
USP14
USP3
USP39
USP7
USP8
UTP18
VAMP2
VASP
VCL
VDAC3
VGF
VIM
WAC
WAPL
WASF2
WBP11
WBP2
WBP4
WDR18
WDR33
WDR4
WDR46
WDR5
WDR61
WDR73
WDR74
WDR76
WDR77
WDR82
WIPF2
WIPI2
WTAP
WWC1
WWTR1
XBP1
XIAP
XPC
XRCC2
XRCC5
XRCC6
YAF2
YBEY
YEATS4
YKT6
YME1L1
YTHDF1
YTHDF2
YWHAE
ZBTB38
ZBTB7A
ZC3H18
ZC3H4
ZC3H8
ZC3HAV1
ZCCHC8
ZDHHC6
ZEB1
ZFAND2B
ZFPM1
ZFR
ZFX
ZMAT5
ZNF32
ZNF326
ZNF622
ZNRD1
ZPR1
ZWILCH
ZWINT
ZYX
